                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8813,                 5.6279,                 1.8467,                      0,                      0,                      0,                      0,                 1.6811,                 5.4109,                   1.27,               4.56e-06,               4.56e-06,               4.56e-06
                      2,                 2.7326,                 5.5836,                 1.7168,                      0,                      0,                      0,                      0,                 1.6808,                 5.4188,                 1.2697,             1.0113e-05,             1.0113e-05,             1.0113e-05
                      3,                 2.6018,                 5.5951,                 1.6841,                      0,                      0,                      0,                      0,                 1.6182,                 5.4249,                 1.2493,             1.5065e-05,             1.5065e-05,             1.5065e-05
                      4,                 2.4769,                  5.567,                 1.5521,                      0,                      0,                      0,                      0,                 1.5555,                 5.4194,                 1.2281,             1.9414e-05,             1.9414e-05,             1.9414e-05
                      5,                 2.1436,                 5.5046,                 1.4839,                      0,                      0,                      0,                      0,                 1.5326,                 5.4205,                 1.2172,             2.3162e-05,             2.3162e-05,             2.3162e-05
                      6,                 1.8853,                 5.4515,                 1.3462,                      0,                      0,                      0,                      0,                 1.5104,                 5.4217,                 1.2072,             2.6307e-05,             2.6307e-05,             2.6307e-05
                      7,                 2.0111,                 5.4978,                 1.3247,                      0,                      0,                      0,                      0,                 1.4925,                 5.4216,                 1.1981,             2.8851e-05,             2.8851e-05,             2.8851e-05
                      8,                 1.9341,                 5.4542,                 1.3199,                      0,                      0,                      0,                      0,                 1.4345,                 5.4059,                 1.1637,             3.0793e-05,             3.0793e-05,             3.0793e-05
                      9,                 1.8576,                 5.4447,                 1.2505,                      0,                      0,                      0,                      0,                   1.38,                 5.3767,                 1.1205,             3.2133e-05,             3.2133e-05,             3.2133e-05
                     10,                 1.6879,                 5.3798,                 1.2005,                      0,                      0,                      0,                      0,                 1.3175,                 5.3535,                 1.0766,             3.2871e-05,             3.2871e-05,             3.2871e-05
                     11,                 1.5319,                 5.2517,                 1.1557,                      0,                      0,                      0,                      0,                 1.2596,                 5.3241,                 1.0485,             3.3007e-05,             3.3007e-05,             3.3007e-05
                     12,                  1.491,                  5.202,                 1.1187,                      0,                      0,                      0,                      0,                 1.2276,                 5.3011,                  1.031,             3.2541e-05,             3.2541e-05,             3.2541e-05
                     13,                 1.4043,                 5.1854,                 1.1015,                      0,                      0,                      0,                      0,                 1.1909,                 5.2747,                 1.0173,             3.1473e-05,             3.1473e-05,             3.1473e-05
                     14,                 1.3997,                 5.1632,                 1.1078,                      0,                      0,                      0,                      0,                 1.1811,                 5.2556,                 1.0117,             2.9803e-05,             2.9803e-05,             2.9803e-05
                     15,                 1.3502,                 5.0996,                 1.0751,                      0,                      0,                      0,                      0,                 1.1642,                 5.2205,                 1.0039,             2.7532e-05,             2.7532e-05,             2.7532e-05
                     16,                 1.3325,                 5.0727,                  1.079,                      0,                      0,                      0,                      0,                 1.1566,                 5.2001,                 1.0014,             2.4658e-05,             2.4658e-05,             2.4658e-05
                     17,                 1.3658,                 5.0351,                 1.0709,                0.07692,                0.01709,                0.04701,                0.03806,                 1.1525,                 5.1772,                 0.9976,             2.1183e-05,             2.1183e-05,             2.1183e-05
                     18,                  1.325,                 5.0479,                 1.0523,                0.04615,                0.02564,                0.03769,                0.02951,                 1.1447,                 5.1373,                0.99093,             1.7105e-05,             1.7105e-05,             1.7105e-05
                     19,                 1.3078,                 5.0328,                 1.0683,                0.04396,                0.03419,                0.04077,                0.03053,                  1.141,                 5.1163,                 0.9882,             1.2426e-05,             1.2426e-05,             1.2426e-05
                     20,                 1.2543,                 4.9933,                  1.052,                0.03077,                0.03419,                0.03712,                0.02772,                 1.1402,                 5.1061,                0.98972,             7.1448e-06,             7.1448e-06,             7.1448e-06
